"Mass","L1","L2","L3","L4","L5","L6","L7","L8","L9"
131,36.8911803422554,NA,NA,NA,NA,NA,9.63052486187845,NA,11.6606092073382
132.1,9.90566037735849,6.84993240198288,NA,NA,NA,NA,8.03867403314917,1.64640245045946,NA
133.1,1.5906099166301,NA,NA,NA,3.67060764366236,NA,NA,0.153178134962806,NA
135,1.26151820974111,NA,NA,25.1606978879706,NA,23.8302139037433,NA,NA,27.7907580477674
143.1,0.981790258885476,NA,3.33333333333333,NA,NA,2.27829768270945,NA,0.74193598799775,NA
144.1,4.07525230364195,NA,NA,NA,20.7915177343965,NA,NA,NA,NA
145.1,28.4225537516455,NA,NA,NA,4.01429749793786,10.1882798573975,NA,37.3194974057636,22.2741433021807
146,3.69131197893813,NA,3.45720720720721,4.14243444546475,NA,0.841131907308378,NA,NA,1.96002076843198
147.1,2.01842913558578,NA,24.1216216216216,33.1904907662483,7.6556915039868,27.4454099821747,18.9709944751381,0.375656373069951,25.1168224299065
158.1,0.855638437911365,NA,NA,NA,NA,NA,2.52762430939227,0.48681002688004,NA
162,3.87779727950856,NA,NA,NA,NA,NA,NA,0.0249192231355879,NA
171,1.6564282580079,NA,NA,NA,NA,7.16354723707665,NA,NA,NA
173.1,100,6.54574132492113,NA,NA,NA,NA,100,0.596205538538476,NA
174.1,13.1801228609039,2.26453357368184,NA,NA,NA,NA,12.3273480662983,1.32788569731825,0.865351332641052
175,4.40434401053093,19.5583596214511,NA,NA,NA,NA,NA,NA,NA
201.1,3.97103992979377,14.3645786390266,25.3040540540541,39.200081624324,4.61403629364861,1.74353832442068,74.8342541436464,NA,59.5448251990308
203.1,17.4637999122422,100,NA,NA,NA,NA,NA,NA,NA
204,2.70403685827117,18.3528616493916,NA,NA,NA,NA,NA,NA,NA
207,1.99100482667837,10.4551599819739,77.9054054054054,72.1661054994388,20.1453808083585,74.3594028520499,58.8397790055249,NA,80.0969193492558
217.1,1.07503290917069,75.1689950428121,NA,NA,NA,NA,NA,NA,NA
246,3.34576568670469,NA,NA,NA,NA,NA,NA,NA,NA
253,1.07503290917069,2.86164939161785,25.9346846846847,31.2315069890827,8.07671157547429,25.3063725490196,18.0904696132597,NA,29.573381793008
281,1.86485300570426,NA,NA,41.0162228344047,10.8245119604069,NA,29.6512430939227,NA,45.2751817237799
327,1.02566915313734,NA,NA,NA,4.71026945284575,18.5438948306595,13.1008287292818,0.100824568669125,18.6483212184147
341,1.135366388767,NA,25.9572072072072,29.0276502397715,6.76381633214188,23.8357843137255,NA,NA,27.1547248182762
62.1,NA,2.34339792699414,NA,NA,NA,NA,NA,0.271242264174533,NA
62.9,NA,3.6390265885534,NA,NA,NA,NA,NA,NA,NA
64.1,NA,2.48986029743128,NA,NA,0.817981853175694,NA,NA,0.213516596861912,NA
73.9,NA,3.17710680486706,NA,NA,NA,NA,NA,NA,NA
77.1,NA,11.0410094637224,NA,5.88715437200286,3.01244157272477,NA,3.89848066298343,1.50360223791961,4.18397369331949
78.1,NA,2.95178008111762,NA,NA,NA,NA,NA,0.262939926236169,2.32779508480443
89,NA,5.04731861198738,6.28378378378378,3.91796755433119,6.41325268078086,NA,6.38466850828729,NA,4.88923502942195
90.1,NA,12.5506985128436,NA,NA,NA,NA,NA,5.28302181659061,4.44790584977501
90.9,NA,3.50383055430374,NA,NA,NA,NA,NA,NA,NA
102.1,NA,11.0973411446598,NA,NA,NA,NA,2.29972375690608,2.06757517034444,NA
103,NA,20.9328526363227,11.8018018018018,9.16233037445159,NA,8.43917112299465,5.37292817679558,NA,7.0699203876774
104,NA,15.592609283461,3.0518018018018,NA,NA,1.88279857397504,2.20303867403315,NA,NA
105.1,NA,2.20820189274448,NA,NA,NA,2.30614973262032,NA,0.304158592236044,NA
116.2,NA,1.74628210905813,NA,NA,NA,NA,NA,NA,NA
117.1,NA,3.42496620099144,NA,NA,2.95916964531207,NA,NA,3.03025567293868,NA
118,NA,3.61649391617846,NA,2.18345066829915,1.4056915039868,NA,5.92886740331492,NA,1.49273104880582
131.1,NA,45.4258675078864,38.963963963964,21.8447097234976,6.54557327467693,9.58110516934046,NA,14.1839094830281,NA
133,NA,2.87291572780532,NA,11.9477604326089,NA,13.998440285205,9.54419889502762,NA,14.7455867082035
135.1,NA,3.74042361424065,21.204954954955,NA,6.64524333241683,NA,16.7955801104972,NA,NA
142.9,NA,2.33213159080667,NA,NA,NA,NA,1.46754143646409,NA,NA
143.9,NA,11.1086074808472,NA,NA,NA,NA,NA,NA,1.50571131879543
145,NA,26.8476791347454,28.6824324324324,26.507499234772,NA,NA,52.0269337016575,NA,NA
146.1,NA,1.92654348805768,NA,NA,NA,NA,7.5725138121547,3.74601487778959,NA
146.9,NA,4.38260477692654,NA,NA,NA,NA,NA,NA,NA
157,NA,4.40513744930149,NA,NA,NA,3.125,NA,NA,NA
158,NA,2.92924740874268,NA,2.80583613916947,4.03148199065164,3.5650623885918,NA,NA,NA
161.9,NA,2.17440288418206,NA,NA,NA,1.21434937611408,NA,NA,NA
171.1,NA,5.63316809373592,NA,NA,2.04839153148199,NA,3.71546961325967,0.93435487903982,NA
172.1,NA,2.11807120324471,NA,NA,0.695971954907891,NA,NA,0.447935550415703,NA
175.9,NA,2.34339792699414,NA,NA,0.280107231234534,NA,NA,NA,0.969193492557979
190,NA,12.798557908968,NA,NA,NA,NA,NA,NA,NA
191.1,NA,3.08697611536728,NA,NA,NA,NA,NA,0.0483733278114647,NA
192.9,NA,2.00540784136999,NA,NA,NA,NA,9.13674033149171,NA,NA
197,NA,2.64758900405588,NA,8.12162024283236,NA,6.6232174688057,5.22790055248619,NA,6.81031498788508
199.1,NA,6.27534925642181,NA,NA,NA,NA,1.45372928176796,1.08907138838532,NA
202.1,NA,1.80261378999549,NA,NA,NA,NA,10.1899171270718,NA,8.20785739010038
204.9,NA,1.82514646237044,NA,NA,NA,NA,NA,NA,1.79560401523018
208.9,NA,2.26453357368184,NA,NA,NA,NA,NA,NA,NA
218,NA,11.0860748084723,NA,NA,NA,NA,NA,NA,NA
221.1,NA,2.0392068499324,9.06531531531532,10.2744617896133,1.86279901017322,6.38368983957219,4.3128453038674,NA,5.923329871928
246.1,NA,17.5867507886435,NA,NA,NA,NA,NA,NA,NA
247,NA,2.42226228030644,NA,NA,NA,NA,NA,NA,NA
281.1,NA,5.2388463271744,39.8198198198198,NA,NA,44.7526737967914,NA,0.246530599487404,NA
325.1,NA,2.81658404686796,NA,NA,NA,NA,NA,NA,NA
326.8,NA,2.46732762505633,NA,NA,NA,NA,NA,NA,NA
341.1,NA,3.31230283911672,NA,NA,NA,NA,19.1574585635359,0.169782810839532,NA
355.3,NA,1.74628210905813,NA,NA,NA,NA,NA,NA,NA
51.1,NA,NA,2.0045045045045,NA,NA,NA,NA,0.323986528724136,1.78262374524057
56,NA,NA,2.34234234234234,NA,1.58097332966731,NA,1.21546961325967,NA,NA
57.1,NA,NA,15.5518018018018,NA,13.8060214462469,NA,7.97651933701657,2.8896043008064,NA
59,NA,NA,5.38288288288288,NA,1.31976904041793,3.99398395721925,NA,NA,5.45171339563863
