"Row.names","Numerator","V1","ratio","L.peak","P.peak","name"
"L1.S1",13.6017157074021,15304.5943236411,0.000888734155232814,"L1","S1","210430018"
"L2.S1",42.3578066523456,19638.503300488,0.00215687550136741,"L2","S1","210430018"
"L3.S1",1652.83620122024,23066.5386842479,0.0716551461771312,"L3","S1","210430018"
"L4.S1",684.540048701306,21823.9995472616,0.0313663885127417,"L4","S1","210430018"
"L5.S1",1298.69389724141,16039.5235393495,0.0809683588203442,"L5","S1","210430018"
"L6.S1",835.622402358032,20714.4705170518,0.0403400319438607,"L6","S1","210430018"
"L7.S1",810.193451859944,23242.5418262373,0.0348582120629061,"L7","S1","210430018"
"L8.S1",117.561686323427,16627.2834618753,0.00707040850016086,"L8","S1","210430018"
"L9.S1",502.534854245881,22589.8030660967,0.0222460927514723,"L9","S1","210430018"
