"Row.names","Numerator","V1","ratio","L.peak","P.peak","name"
"L1.S11",826.674868900481,13781.6624986407,0.0599836825914159,"L1","S11","210430018"
"L2.S11",1413.67573746455,17684.3122230093,0.0799395373502395,"L2","S11","210430018"
"L3.S11",3694.66865824658,20771.2301571488,0.177874330518407,"L3","S11","210430018"
"L4.S11",4528.18511567912,19652.3337875243,0.230414624778748,"L4","S11","210430018"
"L5.S11",13945.0569841381,14443.4602697608,0.965492805995654,"L5","S11","210430018"
"L6.S11",3851.21048400721,18653.2119353904,0.206463664131773,"L6","S11","210430018"
"L7.S11",2440.73978286802,20929.7195525751,0.116615981247954,"L7","S11","210430018"
"L8.S11",680.906110217602,14972.7332913896,0.0454764068100492,"L8","S11","210430018"
"L9.S11",2417.7167282383,20341.9336170705,0.118853830405258,"L9","S11","210430018"
"L1.S12",13245.5493312874,16935.094519615,0.782136132511441,"L1","S12","210430018"
"L2.S12",5118.3351120621,21730.7236366138,0.235534499340753,"L2","S12","210430018"
"L3.S12",8111.69348692118,25523.970423357,0.317806883191581,"L3","S12","210430018"
"L4.S12",8243.47898751872,24149.0553302676,0.341358238439523,"L4","S12","210430018"
"L5.S12",2166.0301452842,17748.3206313338,0.122041413961171,"L5","S12","210430018"
"L6.S12",4499.09078119516,22921.320795035,0.196284098173335,"L6","S12","210430018"
"L7.S12",22135.5044067058,25718.7243503353,0.860676606863558,"L7","S12","210430018"
"L8.S12",2728.38517704953,18398.6985265152,0.148292292148683,"L8","S12","210430018"
"L9.S12",9794.68047406457,24996.4449899133,0.391842939186631,"L9","S12","210430018"
"L1.S13",1897.35479424556,14795.3900996098,0.128239592296766,"L1","S13","210430018"
"L2.S13",2065.48199238731,18985.1041562313,0.108794872832414,"L2","S13","210430018"
"L3.S13",2868.75571932228,22299.0842399534,0.128649037263257,"L3","S13","210430018"
"L4.S13",1502.5074677625,21097.8860339123,0.0712160197162597,"L4","S13","210430018"
"L5.S13",751.333069422943,15505.8672420982,0.048454759588234,"L5","S13","210430018"
"L6.S13",731.189576306844,20025.2725113547,0.0365133396258275,"L6","S13","210430018"
"L7.S13",2527.23653056256,22469.2315231433,0.112475432368904,"L7","S13","210430018"
"L8.S13",16063.0618048316,16074.0716096751,0.999315058119009,"L8","S13","210430018"
"L9.S13",1353.91176756463,21838.2102503678,0.0619973776258442,"L9","S13","210430018"
"L1.S15",3564.36553570831,22694.6359036291,0.157057621494529,"L1","S15","210430018"
"L2.S15",5944.01991468138,29121.2346222293,0.204112909077835,"L2","S15","210430018"
"L3.S15",25721.4272336425,34204.5457674985,0.751988563405607,"L3","S15","210430018"
"L4.S15",28097.5444718543,32362.0288922648,0.868225677858231,"L4","S15","210430018"
"L5.S15",8294.18883988072,23784.4361696627,0.348723374424996,"L5","S15","210430018"
"L6.S15",22931.5710538838,30716.7479503048,0.746549442375337,"L6","S15","210430018"
"L7.S15",23493.6153077155,34465.5345360263,0.681655329707944,"L7","S15","210430018"
"L8.S15",1786.40986451889,24656.0043509808,0.0724533399284474,"L8","S15","210430018"
"L9.S15",29717.2850674461,33497.6115588915,0.887146386995403,"L9","S15","210430018"
"L1.S16",4661.80294206414,21479.838383164,0.217031565084683,"L1","S16","210430018"
"L2.S16",5074.05754271488,27562.4343946253,0.184093228851524,"L2","S16","210430018"
"L3.S16",27412.8860576797,32373.6462737399,0.846765477879328,"L3","S16","210430018"
"L4.S16",25906.1154511276,30629.7555646608,0.845782637619768,"L4","S16","210430018"
"L5.S16",6623.92359020009,22511.3038661854,0.294248775174235,"L5","S16","210430018"
"L6.S16",25199.0904749331,29072.5431520769,0.866765949683797,"L6","S16","210430018"
"L7.S16",23667.500746157,32620.664846393,0.725537044005834,"L7","S16","210430018"
"L8.S16",1126.69049470498,23336.218782385,0.0482807649864618,"L8","S16","210430018"
"L9.S16",27169.2646503039,31704.5528098531,0.856951517759942,"L9","S16","210430018"
"L1.S2",13688.5318348456,13751.980670583,0.995386203830759,"L1","S2","210430018"
"L2.S2",6286.41079170252,17646.2251841797,0.356246773805111,"L2","S2","210430018"
"L3.S2",2766.26225540967,20726.4947645841,0.133465030475701,"L3","S2","210430018"
"L4.S2",2149.13333303759,19610.0081833041,0.109593698939267,"L4","S2","210430018"
"L5.S2",807.058767219743,14412.3531152845,0.0559977097954841,"L5","S2","210430018"
"L6.S2",996.899299516287,18613.0381588634,0.0535591928092389,"L6","S2","210430018"
