"Row.names","Numerator","V1","ratio","L.peak","P.peak","name"
"L1.S17",1100.0393362408,14016.7021662557,0.0784806100031911,"L1","S17","210805018"
"L2.S17",1708.01280507308,17985.909716585,0.0949639374369872,"L2","S17","210805018"
"L3.S17",4049.90588376543,21125.4735608436,0.191707223608563,"L3","S17","210805018"
"L4.S17",4963.31194653026,19987.4949483592,0.248320860585769,"L4","S17","210805018"
"L5.S17",13941.4826884389,14689.7865820871,0.949059580309994,"L5","S17","210805018"
"L6.S17",3845.84061000202,18971.3335505206,0.202718517375733,"L6","S17","210805018"
"L7.S17",2859.59676593968,21286.6659171663,0.134337466330676,"L7","S17","210805018"
"L8.S17",852.074329895981,15228.0861021586,0.0559541313451859,"L8","S17","210805018"
"L9.S17",2816.01449353592,20688.8555734364,0.136112627570931,"L9","S17","210805018"
"L1.S19",4281.69451028652,18566.3524338232,0.230615815656195,"L1","S19","210805018"
"L2.S19",6748.51245972168,23823.916259344,0.283266293679773,"L2","S19","210805018"
"L3.S19",16053.5422853312,27982.5441683628,0.573698452461712,"L3","S19","210805018"
"L4.S19",18325.4577284058,26475.1916020506,0.69217469712236,"L4","S19","210805018"
"L5.S19",5459.54171706495,19457.9118273105,0.280582097684404,"L5","S19","210805018"
"L6.S19",12412.6470231853,25129.1966298996,0.493953197390175,"L6","S19","210805018"
"L7.S19",20175.1344956162,28196.057594105,0.715530333568133,"L7","S19","210805018"
"L8.S19",2434.77979349191,20170.9367946717,0.120707323525751,"L8","S19","210805018"
"L9.S19",21090.2542935387,27404.2053168272,0.769599192886959,"L9","S19","210805018"
"L1.S20",12816.8690598496,15953.4152722047,0.803393432764219,"L1","S20","210805018"
"L2.S20",4372.96900143941,20471.0554132943,0.213617173768165,"L2","S20","210805018"
"L3.S20",4779.29028714289,24044.4184759437,0.198769219223353,"L3","S20","210805018"
"L4.S20",5058.85680941391,22749.2032990416,0.22237511981912,"L4","S20","210805018"
"L5.S20",1348.95433126376,16719.5009799297,0.0806814947935981,"L5","S20","210805018"
"L6.S20",1372.31824471406,21592.6370417995,0.0635549165235119,"L6","S20","210805018"
"L7.S20",19202.4520924859,24227.8830718679,0.792576554688047,"L7","S20","210805018"
"L8.S20",2464.57394383051,17332.1783189121,0.142196433620884,"L8","S20","210805018"
"L9.S20",6398.80007641494,23547.4721910187,0.271740423961749,"L9","S20","210805018"
"L1.S21",2040.63356345616,14487.1812464875,0.140857874885145,"L1","S21","210805018"
"L2.S21",2313.45864037732,18589.6176473252,0.124448963086134,"L2","S21","210805018"
"L3.S21",2923.58539939737,21834.5628496419,0.133897134535273,"L3","S21","210805018"
"L4.S21",1585.85571116129,20658.3872972087,0.0767657072328956,"L4","S21","210805018"
"L5.S21",740.389344170861,15182.8581475642,0.0487648199683433,"L5","S21","210805018"
"L6.S21",762.753541657192,19608.1178278599,0.0388998856674272,"L6","S21","210805018"
"L7.S21",2641.84613450578,22001.165724833,0.120077552596402,"L7","S21","210805018"
"L8.S21",15690.7331929054,15739.2260163877,0.99691898296449,"L8","S21","210805018"
"L9.S21",1391.74785772999,21383.2895155853,0.0650857697416298,"L9","S21","210805018"
"L1.S4",13046.191576173,13151.9109504925,0.991961671979268,"L1","S4","210805018"
"L2.S4",5471.14056339766,16876.2295260579,0.32419211619218,"L2","S4","210805018"
"L3.S4",2267.41785331972,19822.0910855966,0.114388428724722,"L3","S4","210805018"
"L4.S4",1772.25986542256,18754.3225621995,0.094498740732692,"L4","S4","210805018"
"L5.S4",631.485715482533,13783.4679454389,0.0458147193422031,"L5","S4","210805018"
"L6.S4",790.53461656201,17800.8554729239,0.0444099227570527,"L6","S4","210805018"
"L7.S4",12393.5037616438,19973.3383255757,0.6205023696902,"L7","S4","210805018"
"L8.S4",1492.73076054929,14288.5558947082,0.104470372761892,"L8","S4","210805018"
"L9.S4",1543.79317513706,19412.4112035779,0.079526090754379,"L9","S4","210805018"
"L1.S6",6353.7823549314,17895.2314383035,0.355054494647751,"L1","S6","210805018"
"L2.S6",22640.8267641277,22962.7492393741,0.985980664950416,"L2","S6","210805018"
"L3.S6",3727.83423944291,26971.0545412871,0.138216109931348,"L3","S6","210805018"
"L4.S6",3299.45784952219,25518.1884961432,0.129298278755989,"L4","S6","210805018"
"L5.S6",1401.47459549967,18754.5634877363,0.0747271242231843,"L5","S6","210805018"
"L6.S6",1415.65222271255,24220.8474256615,0.0584476751714598,"L6","S6","210805018"
"L7.S6",4746.05389528771,27176.8500621068,0.174635908298483,"L7","S6","210805018"
"L8.S6",1977.13833614577,19441.8146243124,0.101695154199923,"L8","S6","210805018"
"L9.S6",2871.17823347116,26413.6209993525,0.108700667490517,"L9","S6","210805018"
"L1.S8",13406.3751628981,14181.7922589069,0.945323053542699,"L1","S8","210805018"
"L2.S8",5073.86419483121,18197.7495250013,0.278818223531453,"L2","S8","210805018"
"L3.S8",3324.94836255112,21374.2914600965,0.155558296225091,"L3","S8","210805018"
"L4.S8",2445.52725286174,20222.9096239193,0.120928555699483,"L4","S8","210805018"
"L5.S8",1168.17519990939,14862.8043289935,0.0785972266102285,"L5","S8","210805018"
"L6.S8",1294.71637708902,19194.7797774878,0.0674514837939168,"L6","S8","210805018"
"L7.S8",13364.5990746291,21537.3823557992,0.620530334366773,"L7","S8","210805018"
"L8.S8",1867.28383658206,15407.4439936003,0.121193615070589,"L8","S8","210805018"
"L9.S8",2173.63612181098,20932.530943217,0.103840100736377,"L9","S8","210805018"
