"Row.names","Numerator","V1","ratio","L.peak","P.peak","name"
"L1.S1",13806.5032819642,13806.5032819642,1,"L1","S1","210301030"
"L2.S1",6503.35377422756,17716.1873446211,0.367085403180842,"L2","S1","210301030"
"L3.S1",3718.36173602299,20808.6692997593,0.178692913153558,"L3","S1","210301030"
"L4.S1",3215.40399227649,19687.7561732826,0.163319982428469,"L4","S1","210301030"
"L5.S1",1071.1472269311,14469.4939117135,0.0740279676308492,"L5","S1","210301030"
"L6.S1",1899.57185692,18686.8334520993,0.101652955905518,"L6","S1","210301030"
"L7.S1",13728.1304962254,20967.4443646925,0.654735515566337,"L7","S1","210301030"
"L8.S1",1919.91378041873,14999.7209224892,0.127996633426705,"L8","S1","210301030"
"L9.S1",2914.94438874149,20378.5989733301,0.14303948924832,"L9","S1","210301030"
"L1.S2",6503.35377422757,17716.1873446211,0.367085403180842,"L1","S2","210301030"
"L2.S2",22733.003977895,22733.003977895,1,"L2","S2","210301030"
"L3.S2",6258.96358841943,26701.2056693877,0.234407526982768,"L3","S2","210301030"
"L4.S2",5623.63981492172,25262.8757360114,0.222604895566398,"L4","S2","210301030"
"L5.S2",1948.16638519929,18566.921666302,0.104926730462546,"L5","S2","210301030"
"L6.S2",3997.66810940034,23978.5147299096,0.166718754452871,"L6","S2","210301030"
"L7.S2",6557.35790566902,26904.9421795354,0.243723174051521,"L7","S2","210301030"
"L8.S2",2081.41028869136,19247.2967668064,0.108140395709019,"L8","S2","210301030"
"L9.S2",5230.21270249962,26149.3493217827,0.200013110771472,"L9","S2","210301030"
"L1.S3",3718.36173602299,20808.6692997593,0.178692913153558,"L1","S3","210301030"
"L2.S3",6258.96358841943,26701.2056693877,0.234407526982768,"L2","S3","210301030"
"L3.S3",31362.084170319,31362.084170319,1,"L3","S3","210301030"
"L4.S3",23506.1534215575,29672.6838865351,0.792181573848941,"L4","S3","210301030"
"L5.S3",7908.65290684209,21807.9051295378,0.362650738797014,"L5","S3","210301030"
"L6.S3",22956.96368996,28164.1288618224,0.815113572395242,"L6","S3","210301030"
"L7.S3",18964.4664821935,31601.384285038,0.600115055439911,"L7","S3","210301030"
"L8.S3",2984.85812748683,22607.0443681779,0.132032214334412,"L8","S3","210301030"
"L9.S3",24053.3019390107,30713.897513963,0.783140658982653,"L9","S3","210301030"
"L1.S4",3215.40399227649,19687.7561732826,0.163319982428469,"L1","S4","210301030"
"L2.S4",5623.63981492172,25262.8757360114,0.222604895566399,"L2","S4","210301030"
"L3.S4",23506.1534215575,29672.6838865351,0.792181573848941,"L3","S4","210301030"
"L4.S4",28074.2875457082,28074.2875457082,1,"L4","S4","210301030"
"L5.S4",9130.10258628421,20633.1655645748,0.442496453474872,"L5","S4","210301030"
"L6.S4",22081.6754529213,26646.9947634222,0.828674139390473,"L6","S4","210301030"
"L7.S4",20597.0278148413,29899.0934777953,0.688884692445201,"L7","S4","210301030"
"L8.S4",1545.63588883135,21389.2570883625,0.0722622521411601,"L8","S4","210301030"
"L9.S4",26871.0629869466,29059.4134913321,0.924693920438614,"L9","S4","210301030"
"L1.S5",1071.1472269311,14469.4939117135,0.0740279676308492,"L1","S5","210301030"
"L2.S5",1948.16638519929,18566.921666302,0.104926730462546,"L2","S5","210301030"
"L3.S5",7908.65290684209,21807.9051295378,0.362650738797015,"L3","S5","210301030"
"L4.S5",9130.10258628421,20633.1655645748,0.442496453474872,"L4","S5","210301030"
"L5.S5",15164.3214639738,15164.3214639738,1,"L5","S5","210301030"
"L6.S5",8082.47291788275,19584.1783645227,0.41270421293366,"L6","S5","210301030"
"L7.S5",5755.99612404242,21974.3046000239,0.261942128718656,"L7","S5","210301030"
"L8.S5",742.148772334153,15720.0100657552,0.0472104514710754,"L8","S5","210301030"
"L9.S5",7288.52723264451,21357.1827530759,0.341268196133911,"L9","S5","210301030"
"L1.S6",1899.57185692,18686.8334520993,0.101652955905518,"L1","S6","210301030"
"L2.S6",3997.66810940035,23978.5147299096,0.166718754452871,"L2","S6","210301030"
"L3.S6",22956.96368996,28164.1288618224,0.815113572395242,"L3","S6","210301030"
"L4.S6",22081.6754529213,26646.9947634222,0.828674139390473,"L4","S6","210301030"
"L5.S6",8082.47291788275,19584.1783645227,0.412704212933659,"L5","S6","210301030"
"L6.S6",25292.2653430042,25292.2653430042,1,"L6","S6","210301030"
"L7.S6",15708.4719973028,28379.0278216937,0.553523964809494,"L7","S6","210301030"
"L8.S6",764.00314263372,20301.8303028751,0.037632229766275,"L8","S6","210301030"
"L9.S6",22129.8546682157,27582.037046209,0.80232850935342,"L9","S6","210301030"
"L1.S7",13728.1304962254,20967.4443646925,0.654735515566338,"L1","S7","210301030"
"L2.S7",6557.35790566903,26904.9421795354,0.243723174051521,"L2","S7","210301030"
"L3.S7",18964.4664821935,31601.384285038,0.600115055439911,"L3","S7","210301030"
"L4.S7",20597.0278148413,29899.0934777953,0.688884692445201,"L4","S7","210301030"
"L5.S7",5755.99612404241,21974.3046000239,0.261942128718656,"L5","S7","210301030"
"L6.S7",15708.4719973028,28379.0278216937,0.553523964809494,"L6","S7","210301030"
"L7.S7",31842.5103161915,31842.5103161915,1,"L7","S7","210301030"
"L8.S7",2577.1153545417,22779.5414599332,0.113132889837777,"L8","S7","210301030"
"L9.S7",23036.4408231165,30948.2518112937,0.744353540987732,"L9","S7","210301030"
"L1.S8",1919.91378041873,14999.7209224892,0.127996633426705,"L1","S8","210301030"
"L2.S8",2081.41028869136,19247.2967668064,0.108140395709019,"L2","S8","210301030"
"L3.S8",2984.85812748683,22607.0443681779,0.132032214334412,"L3","S8","210301030"
"L4.S8",1545.63588883135,21389.2570883625,0.0722622521411602,"L4","S8","210301030"
"L5.S8",742.148772334153,15720.0100657552,0.0472104514710753,"L5","S8","210301030"
"L6.S8",764.003142633719,20301.8303028751,0.037632229766275,"L6","S8","210301030"
"L7.S8",2577.1153545417,22779.5414599332,0.113132889837777,"L7","S8","210301030"
"L8.S8",16296.0615847224,16296.0615847224,1,"L8","S8","210301030"
"L9.S8",1397.19088604183,22139.8055067706,0.0631076404720246,"L9","S8","210301030"
"L1.S9",2914.94438874149,20378.5989733301,0.14303948924832,"L1","S9","210301030"
"L2.S9",5230.21270249963,26149.3493217827,0.200013110771472,"L2","S9","210301030"
"L3.S9",24053.3019390107,30713.897513963,0.783140658982653,"L3","S9","210301030"
"L4.S9",26871.0629869466,29059.4134913321,0.924693920438614,"L4","S9","210301030"
"L5.S9",7288.5272326445,21357.1827530759,0.341268196133911,"L5","S9","210301030"
"L6.S9",22129.8546682157,27582.037046209,0.80232850935342,"L6","S9","210301030"
"L7.S9",23036.4408231165,30948.2518112937,0.744353540987732,"L7","S9","210301030"
"L8.S9",1397.19088604183,22139.8055067706,0.0631076404720246,"L8","S9","210301030"
"L9.S9",30079.1074781631,30079.1074781631,1,"L9","S9","210301030"
