"RetentionTime","TIC","Mass","Intensity"
185.502,1692,44.1,701
185.502,1692,73.1,207
185.502,1692,77.9,183
185.502,1692,163.1,167
185.502,1692,207.1,431
185.787,906,44,752
185.787,906,207.1,153
186.07302,1093,44,743
186.07302,1093,207,349
186.35898,1576,41.2,160
186.35898,1576,44,1152
186.35898,1576,207.2,263
186.64398,1193,44,771
186.64398,1193,73.1,201
186.64398,1193,207,220
186.93,1145,44,774
186.93,1145,73.1,181
186.93,1145,207.2,189
187.21602,1380,41,182
187.21602,1380,44,950
187.21602,1380,207.1,247
187.50198,1124,43.9,882
187.50198,1124,207.1,241
187.78698,1068,44,852
187.78698,1068,206.9,216
188.073,912,44,716
188.073,912,206.9,195
188.35902,781,44,570
188.35902,781,207.1,211
188.64402,1419,40.9,164
188.64402,1419,43.9,957
188.64402,1419,207,297
188.92998,1204,41,178
188.92998,1204,44.1,683
188.92998,1204,207.2,342
189.216,1208,44,946
189.216,1208,207.2,262
189.50202,1210,44,972
189.50202,1210,207.1,238
189.78702,1045,44,755
189.78702,1045,207.1,289
190.07298,1048,44,733
190.07298,1048,207.1,314
190.359,1075,44,799
190.359,1075,207.1,275
190.644,1163,44,804
190.644,1163,206.9,359
190.93002,1160,44,853
190.93002,1160,207.1,306
191.21598,1288,44,893
191.21598,1288,207.1,395
191.502,1000,44,754
191.502,1000,206.9,246
191.787,1499,40.9,165
191.787,1499,43.9,1045
191.787,1499,206.9,288
192.07302,1755,44,1099
192.07302,1755,73,189
192.07302,1755,78,152
192.07302,1755,207,314
192.35898,1720,44,1016
192.35898,1720,73.1,237
192.35898,1720,207.1,465
192.645,1124,44,822
192.645,1124,207,302
192.93,1337,44,1097
192.93,1337,207.1,239
193.21602,1265,43.9,917
193.21602,1265,207.1,348
193.50198,1056,44.1,815
193.50198,1056,207,241
193.78698,1006,44,744
193.78698,1006,207,262
194.073,924,44,761
194.073,924,207,163
194.35902,1317,44.1,890
194.35902,1317,78,185
194.35902,1317,206.9,241
194.64498,1224,43.9,822
194.64498,1224,207,401
194.92998,1148,43.9,824
194.92998,1148,207,324
195.216,1338,43.9,1148
195.216,1338,207,189
195.50202,1167,44,1012
195.50202,1167,206.8,155
195.78702,1655,41.2,200
195.78702,1655,44,1170
195.78702,1655,207,284
196.07298,1161,43.9,918
196.07298,1161,207,243
196.359,1231,44,927
196.359,1231,207,304
