Name,PositionX,PositionY,Concentration,Dilution,PA,I.S PA,Type
25,,,25,,284299,3071742,Cal
50,,,50,,957167,3071023,Cal
75,,,75,,2180425,3206928,Cal
100,,,100,,3690391,3340235,Cal
150,,,150,,8911076,4088076,Cal
200,,,200,,11220152,3492544,Cal
250,,,250,,15707158,3619850,Cal
40-1,,,40,,627011,3997946,Check
125-1,,,125,,6047962,3437929,Check
40-2,,,40,,746507,3449537,Check
125-2,,,125,,5361190,2974706,Check
G6,G,6,,10,5165023,3140085,Sample
G7,G,7,,10,5726378,3206291,Sample
G8,G,8,,10,3396082,3167535,Sample
G9,G,9,,10,3836922,3198493,Sample
H1,H,1,,10,4952347,3042535,Sample
H2,H,2,,10,4795852,3136763,Sample
H3,H,3,,10,5354636,3108544,Sample
H4,H,4,,10,4913756,3092303,Sample
H5,H,5,,10,4380776,3046653,Sample
H6,H,6,,10,5156598,3133174,Sample
H7,H,7,,10,4154248,3104542,Sample
H8,H,8,,10,3677902,3076623,Sample
H9,H,9,,10,3176704,2855401,Sample
I1,I,1,,10,3947522,2935318,Sample
I2,I,2,,10,3975473,2913972,Sample
I3,I,3,,10,3769477,2952013,Sample
I4,I,4,,10,3377967,2936048,Sample
I5,I,5,,10,3433124,2983033,Sample
I6,I,6,,10,4182339,2930367,Sample
I7,I,7,,10,3663270,3116199,Sample
I8,I,8,,10,3904744,2899555,Sample
I9,I,9,,10,3456355,2872142,Sample
J1,J,1,,10,4446969,2912550,Sample
J2,J,2,,10,4937308,2933652,Sample
J3,J,3,,10,4172015,2873990,Sample
J4,J,4,,10,4530245,3008577,Sample
J5,J,5,,10,4077088,2925399,Sample
J6,J,6,,10,4934942,2936795,Sample
J7,J,7,,10,4253762,2770334,Sample
J8,J,8,,10,3805585,2735269,Sample
J9,J,9,,10,3660483,2762822,Sample
K1,K,1,,10,3750835,2774281,Sample
K2,K,2,,10,3579347,2704941,Sample
K3,K,3,,10,4015984,2714177,Sample
K4,K,4,,10,4084429,2711048,Sample
K5,K,5,,10,3559526,2768335,Sample
K6,K,6,,10,4253065,2765369,Sample
K7,K,7,,10,3734318,2825871,Sample
K8,K,8,,10,3790218,2701401,Sample
K9,K,9,,10,4935282,2841471,Sample
L1,L,1,,10,5866432,2813888,Sample
L2,L,2,,10,5755162,2801635,Sample
L3,L,3,,10,5152890,2922934,Sample
L4,L,4,,10,5469928,2901216,Sample
L5,L,5,,10,5591841,2860370,Sample
L6,L,6,,10,5464884,2758830,Sample
