.wavelength	spc
185.49798	140.656090490605
185.784	228.658791852848
186.07002	26.6617279577865
186.35598	-55.3356596233041
186.64098	305.660188470344
186.927	43.6630002968552
187.21302	81.6654944239738
187.49802	84.6603939473034
187.78398	256.661420534584
188.07	538.662135143017
188.35602	-18.338020390029
188.64102	171.653689431878
188.92698	334.650964290062
189.213	292.64737399807
189.498	31.6352493219895
189.78402	154.628651398388
190.06998	159.61975713699
190.356	9.60908368668947
190.641	-120.411185873817
190.92702	11.5728016506594
191.21298	-47.446777395289
191.499	217.53058965348
191.784	23.497137433279
192.07002	-49.5333752207921
192.35598	-232.568723611076
192.64098	115.384616243593
192.927	-51.6601040601035
193.21302	-78.7102025193481
193.49898	-15.7664048137524
193.78398	-0.835114529835664
194.07	-81.9032329829486
194.35602	35.0220018467846
194.64102	-124.066552624414
194.92698	256.844071955388
195.213	51.7475094469055
195.49902	116.643043783523
195.78402	69.5236450119362
196.06998	89.4020675922127
196.356	84.272040021636
196.641	-129.873766496993
196.92702	-25.0223933144541
197.21298	-174.181192687144
197.499	-41.3497063265404
197.784	-115.535111390283
198.07002	-48.7247326713677
198.35598	-57.9257627203244
198.64098	-246.144060987398
198.927	41.6325008853009
199.21302	-153.602720979957
199.49898	-25.8503399708068
199.78398	138.88394760187
200.07	-168.388059617861
200.35602	-38.6728375748523
200.64198	176.029011049465
200.92698	-91.288045742466
201.213	-62.6125663249768
201.49902	43.0491553559455
201.78402	-211.308978570162
202.06998	14.3241967915951
202.356	-195.056781424048
202.64202	-3.45249411933855
202.92702	-26.8687781901494
203.21298	-91.2948111102091
203.499	32.2641874381304
203.784	102.802223451062
204.07002	-82.6698788664462
204.35598	-97.158152745671
204.642	-37.6621492204224
204.927	227.812379298528
205.21302	52.2758024361922
205.49898	-77.2776733117894
205.78398	-94.8526961140121
206.07	-27.4395562849961
206.35602	-162.043569223009
206.64198	-10.6651980766121
206.92698	-160.30882455225
207.213	-40.9651578977096
207.49902	-37.6392110930324
207.78402	-185.33574457462
208.06998	5.95417598281438
208.356	-21.7737324065404
208.64202	183.480130344319
208.92702	-78.2887364163976
209.21298	-95.0719007293778
209.499	-193.873418280317
209.784	245.302152555377
210.07002	-97.5369006044596
210.35598	12.6048165211639
210.642	-235.272344309048
210.927	94.827359135491
211.21302	62.911733970177
211.49898	-156.023463364783
211.785	-207.977838073699
212.07	135.044707464196
212.35602	53.0514406305374
212.64198	-168.96159000848
212.92698	-174.997437938936
213.213	-101.049462892264
213.49902	44.8787974371801
213.78498	29.7871024999124
214.06998	-296.32735249934
214.356	162.54152653036
214.64202	9.39048285435547
214.92702	9.21654367676933
215.21298	-63.9745864266702
215.499	-29.1855560059389
215.78502	-67.416521554519
216.07002	-30.6701035308304
216.35598	-111.941094742732
216.642	-61.2318809581611
216.927	72.4549753967851
217.21302	-27.8755939546597
217.49898	56.7737983830064
217.785	-171.596559759221
218.07	-49.9889306549542
218.35602	-30.3989496812803
218.64198	-47.8289291360181
218.92698	-175.28054180883
219.213	-39.7499688054083
219.49902	-136.239172389356
219.78498	-173.748136174562
220.06998	-319.278163718041
220.356	-72.825858731127
220.64202	-157.392800177175
220.92798	111.021064872096
221.21298	162.414672798561
221.499	-3.20911046861329
221.78502	127.148410393554
222.07002	-126.513802838051
222.35598	-158.193260293413
222.642	-123.89093164436
222.92802	-198.606748303662
223.21302	21.6585100990685
223.49898	191.906829379546
223.785	-94.8625165517858
224.07	-72.6501064632553
224.35602	-37.4542028234478
224.64198	-74.2754149066645
224.928	-3.11344995550257
225.213	-105.968618422142
225.49902	107.160333504648
225.78498	-144.726946266586
226.06998	115.369490411994
226.356	-132.549474397156
226.64202	-44.4839964534808
226.92798	-197.43386691237
227.21298	-219.398945284103
227.499	-140.378776600451
227.78502	3.62671176017193
228.07002	58.6178281343484
228.35598	-105.405227735478
228.642	22.5577984380529
228.92802	101.507167805027
229.21302	51.4433899986493
229.49898	93.3662830675141
229.785	257.276276917342
230.07	241.174032283935
230.35602	-88.9409256645815
230.64198	-62.0679676640666
230.928	106.793110718634
231.213	178.643149742092
231.49902	16.4813330258719
231.78498	111.308471950997
232.071	23.1247291583634
232.356	-87.0690029757575
232.64202	-88.2739891277663
232.92798	131.510613733812
233.21298	183.285660976738
233.499	522.049708552648
233.78502	1.80366560110451
234.07098	-97.4522907349533
234.35598	125.282819950659
234.642	-234.992723690676
234.92802	162.722131283627
235.21302	-64.5714253447345
235.49898	-222.87530805197
235.785	-51.1884881851693
236.07102	-120.510780559639
